Row ID,Order ID,Order Date,Ship Date,Ship Mode,Days to Ship,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin
1,US-2023-103800,1/3/2023,1/7/2023,Standard Class,4,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,Central,OFF-PA-10000174,Office Supplies,Paper,Message Book,16.448,2,0.2,5.5512,0.34
2,US-2023-112326,1/4/2023,1/8/2023,Standard Class,4,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,OFF-BI-10004094,Office Supplies,Binders,Gbc Standard Plastic Binding Systems Combs,3.54,2,0.8,-5.487,-1.55
3,US-2023-112326,1/4/2023,1/8/2023,Standard Class,4,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.2717,0.36
4,US-2023-112326,1/4/2023,1/8/2023,Standard Class,4,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,OFF-ST-10002743,Office Supplies,Storage,Safco Boltless Steel Shelving,272.736,3,0.2,-64.7748,-0.24
5,US-2023-141817,1/5/2023,1/12/2023,Standard Class,7,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10003478,Office Supplies,Art,Avery Hi-Liter Everbold Pen Style Fluorescent Highlighters,19.536,3,0.2,4.884,0.25
6,US-2023-167199,1/6/2023,1/10/2023,Standard Class,4,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager'S Chair,2573.82,9,0,746.4078,0.29
7,US-2023-167199,1/6/2023,1/10/2023,Standard Class,4,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0,1.4796,0.27
8,US-2023-106054,1/6/2023,1/7/2023,First Class,1,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,South,OFF-AR-10002399,Office Supplies,Art,Dixon Prang Watercolor Pencils,12.78,3,0,5.2398,0.41
9,US-2023-167199,1/6/2023,1/10/2023,Standard Class,4,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0,274.491,0.45
10,US-2023-167199,1/6/2023,1/10/2023,Standard Class,4,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-FA-10001883,Office Supplies,Fasteners,Alliance Super-Size Bands,31.12,4,0,0.3112,0.01
11,US-2023-167199,1/6/2023,1/10/2023,Standard Class,4,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0,3.0084,0.46
12,US-2023-130813,1/6/2023,1/8/2023,Second Class,2,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0,9.3312,0.48
